period_name,start_year,end_year
hellenistic,-323,-30
achaemenid,-550,-330
Neo-Babylonian,-626,-539
Neo-Assyrian,-911,-612
Parthian,-247,224
Middle Babylonian,-1595,-1155
Middle Assyrian,-1363,-912
Old Babylonian,-1894,-1595
Old Akkadian,-2334,-2154
Early Old Babylonian,-1894,-1595
First Millennium,-1000,-1
Seleucid,-312,-64
Standard Babylonian,-1595,-1155
Middle Hittite,-1400,-1200
Neo/Late Babylonian,-626,-539
Late Babylonian,-600,-501
Ur III,-2112,-2004
Old Assyrian,-2025,-1750
Late Middle Assyrian or early Neo-Assyrian,-1200,-900
Mitanni,-1550,-1260
Neo Assyrian,-911,-612