Raw Archive Value,Count,Projects,Normalized Archive Value
099 - Miscellaneous,10048,"atae-assurmisc, atae-ctn1, atae-ctn2, atae-ctn3, atae-durkatlimmu, atae-guzana, atae-huzirina, atae-mallanate, atae-marqasu, atae-samal, atae-stat2, saao-saa01, saao-saa02, saao-saa03, saao-saa04, saao-saa05, saao-saa06, saao-saa07, saao-saa08, saao-saa09, saao-saa10, saao-saa11, saao-saa12, saao-saa13, saao-saa14, saao-saa15, saao-saa16, saao-saa17, saao-saa18, saao-saa20, saao-saa21, saao-saas2",Uncertain
01 (The Governor’s Palace Archive),1092,atae-ctn2,Governor's Palace Archive
Ashurbanipal’s Library,824,cmawro-sources,Ashurbanipal Library
The Governor’s Palace Archive,546,atae-ctn2,Governor's Palace Archive
"006 - Northwest Palace, Room ZT 4",468,"atae-ctn1, saao-saa01, saao-saa19",Uncertain (North-West Palace Room)
012 - Governor’s Palace,428,atae-ctn2,Governor's Palace Archive
001 - Mannu-ki-Aššur Archive,428,atae-guzana,Mannu-ki-Aššur Archive
003 - Red House,394,atae-durkatlimmu,Red House Archive
Ch. 11 (Unassigned),386,saao-saa14,Uncertain
046 - N 31 Archive,380,"atae-stat2, atae-stat3",Archive N31
001 -  Mannu-ki-Aššur Archive,324,atae-guzana,Mannu-ki-Aššur Archive
052a - Duri-Aššur Archive,292,atae-wvdog152,Duri-Aššur Archive
01 (Assur 52a: Das Archiv des Dūrī-Aššur),292,atae-wvdog152,Duri-Aššur Archive
048 - N 33 Archive,288,"atae-stat1, atae-stat2",Archive N33
19 (Archive N31 (Egyptians)),280,atae-stat2,Egyptian Archive (Archive N31)
season 29,236,,Uncertain
017 - Šamaš-šarru-uṣur Archive,232,atae-ctn6,Šamaš-šarru-uṣur Archive
"Based on Betina Faist, Alltagstexte aus neuassyrischen Archiven und Bibliotheken der Stadt Assur (Studien zu den Assur-Texten 3), 2007. Adapted, revised, lemmatized, and translated into English by Poppy Tushingham (2018-2020) for the Munich Open-access Cuneiform Corpus Initiative (MOCCI), which is funded by LMU Munich and the Alexander von Humboldt Foundation at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.",224,atae-stat3,Assur (Unassigned)
"J. Pierpont Morgan Library Collection, Yale Babylonian Collection, New Haven, Connecticut, USA",222,"cams-gkab, ccpo, hbtin, saao-saa02",Uncertain (Modern Collection)
01 (Archives from the Domestic Wing of the North-West Palace at Kalhu/Nimrud),220,atae-edubba10,North-West Palace (Domestic Wing) Archive
Ch. 9 (Varia and Unassigned),206,saao-saa15,Uncertain
season 27,194,,Uncertain
Library N 4,188,cmawro-sources,Library N4
"001 - Area F, Private Archive",176,atae-burmarina,Area F Private Archive
"Based on Karen Radner, Die beiden neuassyrischen Privatarchive, in Peter A. Miglus, Karen Radner and Franciszek M. Stępniowski (eds.), Ausgrabungen in Assur: Wohnquartiere in der Weststadt Teil 1 (Wissenschaftliche Veröffentlichungen der Deutschen Orient-Gesellschaft 152), 2016. Adapted by Poppy Tushingham (2018-2020) for the Munich Open-access Cuneiform Corpus Initiative (MOCCI), which is funded by LMU Munich and the Alexander von Humboldt Foundation at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.",176,atae-wvdog152,Weststadt Private Archives (Assur)
Ch. 9 (Varia),176,saao-saa06,Uncertain
Rē’i-alpi,168,borsippa,Rē’i-alpi Archive
4. Oxherds,168,borsippa,Rē’i-alpi Archive
006 - Ninurta-šarru-uṣur Archive,152,saao-saa14,Ninurta-šarru-uṣur Archive
Assur 52a: Das Archiv des Dūrī-Aššur,146,atae-wvdog152,Duri-Aššur Archive
season 30,144,,Uncertain
1. Brewers,142,borsippa,Sīrāšû Archive
Archive N31 (Egyptians),140,atae-stat2,Egyptian Archive (Archive N31)
Ch. 6 (Varia),140,saao-saa14,Uncertain
Ch. 11 (Varia and Unassigned),138,saao-saa16,Uncertain
053 - Aššur-matu-taqqin Archive,136,atae-rfdn17,Aššur-matu-taqqin Archive
01 (The Archive of Aššur-mātu-taqqin found in the new town of Aššur and dated mainly by Post-Canonical Eponyms),136,atae-rfdn17,Aššur-matu-taqqin Archive
Ch. 22 (Babylonian reports - unassigned),134,saao-saa08,Uncertain
040 - N 25 Archive,124,atae-stat2,Archive N25
14 (Archive N25),124,atae-stat2,Archive N25
Ch. 13 (Private Archives),124,saao-saa14,Private Archives (Unassigned)
Ch. 6 (Letters from Northern Babylonia),124,saao-saa15,Uncertain
Ch. 9 (Assyrian reports - unassigned),120,saao-saa08,Uncertain
014 - Nabû Temple,118,atae-ctn6,Nabu Temple Archive
01 (Tablets from the Nabû Temple),118,atae-ctn6,Nabu Temple Archive
02 (Tablets from the Town Wall Houses),116,atae-ctn6,Town Wall Houses Archive
Sippar 7.11.1.2 (later Ebabbar),116,babcity,Ebabbar Archive
Resh temple library,116,cams-gkab,Resh Temple Library
Ch. 7 (Letters from Central and Southern Babylonia),114,saao-saa15,Uncertain
Ch. 8 (Deportees and Displaced Persons),112,saao-saa11,Uncertain
"009 - Northwest Palace, Room 57",110,atae-edubba10,Uncertain (North-West Palace Room)
Archives from the Domestic Wing of the North-West Palace at Kalhu/Nimrud,110,atae-edubba10,North-West Palace (Domestic Wing) Archive
"Ch. 15 (Remanni-Adad, Assurbanipal’s Charioteer)",110,saao-saa06,Uncertain (SAA Chapter)
"001 - Fort Shalmaneser, NE 47-50",108,atae-ctn3,Fort Shalmaneser Archive
01 (Archive of the rab ekall),108,atae-ctn3,Rab ekalli Archive
Ch. 6 (Letters from Babylonia),108,saao-saa19,Uncertain
Ch. 10 (Varia),106,saao-saa14,Uncertain
"Based on Karen Radner, Ein neuassyrisches Privatarchiv der Tempelgoldschmiede von Assur (Studien zu den Assur-Texten 1), 1999. Adapted by Poppy Tushingham (2018-2020) for the Munich Open-access Cuneiform Corpus Initiative (MOCCI), which is funded by LMU Munich and the Alexander von Humboldt Foundation at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0.",104,atae-stat1,Archive N33
01 (Die Texte aus N 33),104,atae-stat1,Archive N33
Ch. 12 (Queries - Unclassifiable (Reign of Esarhaddon)),104,saao-saa04,Uncertain
Ch. 21 (Babylonian reports - varia),104,saao-saa08,Uncertain
035 - N 20 Archive,96,atae-stat2,Archive N20
10 (Archive N20 (Šarru-iqbi)),96,atae-stat2,Archive N20
043 - N 28 Archive,96,"atae-stat2, atae-stat3",Archive N28
"Ch. 10 (Adad-šumu-uṣur, King’s Exorcist)",96,saao-saa10,Uncertain (SAA Chapter)
"003 - Fort Shalmaneser, Palace Manager Archive (SE 1, SE 10)",92,atae-ctn3,Fort Shalmaneser Archive
Babylon 7.1.2.8 (Nappāhu),92,babcity,Nappāhu Archive
"Ch. 8 (Letters from Calah - Nabu-šumu-iddina/Nadinu, Inspector of the Nabu temple)",92,saao-saa13,Uncertain (SAA Chapter)
001 - Hanni Archive (House C1),88,atae-tilbarsip,Hanni Archive
Ch. 10 (Nergal-eṭir),88,saao-saa08,Uncertain (SAA Chapter)
Ch. 5 (Letters from Der and Yadburu),88,saao-saa15,Uncertain (SAA Chapter)
Ch. 2 (Nabu-ahhe-eriba),82,saao-saa08,Uncertain (SAA Chapter)
015 - N 01 Archive,80,"atae-stat2, atae-stat3, saao-saa03, saao-saa12, saao-saa13, saao-saa20",Archive N1
019 - N 03 Archive,80,"atae-stat2, atae-stat3, saao-saa20",Archive N3
21 (Archive N33 (Goldsmiths)),80,atae-stat2,Archive N33
018 - N 02 Archive,80,"atae-stat3, saao-saa12",Archive N2
Ilia A,80,borsippa,Ilia Archive
Ch. 8 (Letters from Eastern Kurdistan),80,saao-saa05,Uncertain (SAA Chapter)
Ch. 12 (Varia and Unassigned),80,saao-saa05,Uncertain (SAA Chapter)
"Ch. 11 (Marduk-šakin-šumi, Chief Exorcist)",80,saao-saa10,Uncertain (SAA Chapter)
Ch. 3 (Letters from or Relating to Babylon),80,saao-saa18,Uncertain (SAA Chapter)
Ch. 14 (Varia),78,saao-saa06,Uncertain
Ch. 12 (Letters of Unknown Authorship),78,saao-saa17,Uncertain
Ch. 3 (Letters from Babylon),78,saao-saa17,Uncertain
042 - N 27 Archive,76,atae-stat3,Archive N27
2. Bakers,76,borsippa,Nuhatimmu Archive
Ch. 15 (Offerings for the Aššur Temple),76,saao-saa07,Uncertain (SAA Chapter)
Ch. 1 (Issar-šumu-ereš),76,saao-saa08,Uncertain (SAA Chapter)
"Ch. 1 (Nabu-zeru-lešir and Issar-šumu-ereš, Chief Scribes)",76,saao-saa10,Uncertain (SAA Chapter)
Private Archives,76,saao-saa14,Private Archives (Unassigned)
Ch. 7 (Miscellaneous Letters),74,saao-saa01,Uncertain
Ch. 7 (Letters from Gambulu),74,saao-saa17,Uncertain
Ch. 10 (Varia and Unassigned),74,saao-saa21,Uncertain
Ch. 8 (Metals and Stones),72,saao-saa07,Uncertain (SAA Chapter)
Ch. 18 (Rašil),72,saao-saa08,Uncertain (SAA Chapter)
"Ch. 4 (Letters from Ṭab-ṣill-Ešarra, Governor of Assur)",70,saao-saa01,Uncertain (SAA Chapter)
08 (Wine List fragments),68,atae-ctn3,Wine Lists
The Archive of Aššur-mātu-taqqin found in the new town of Aššur and dated mainly by Post-Canonical Eponyms,68,atae-rfdn17,Aššur-matu-taqqin Archive
"Ch. 3 (Letters from Ṭab-šar-Aššur, the Treasurer)",68,saao-saa01,Uncertain (SAA Chapter)
Ch. 9 (Appointment Queries (Reign of Esarhaddon)),68,saao-saa04,Uncertain (SAA Chapter)
Ch. 6 (Unassigned Military and Political Queries (Reign of Esarhaddon)),68,saao-saa04,Uncertain (SAA Chapter)
01 (The Wine Lists),66,atae-ctn1,Wine Lists
25 (Unassignable Texts  (Loans and Debt-Notes)),66,atae-stat2,Uncertain
Uruk 7.13.2.11 (Mušēzib-Marduk),66,babcity,Mušēzib-Marduk Archive
Ch. 3 (Queries Relating to Media (Reign of Esarhaddon)),66,saao-saa04,Uncertain (SAA Chapter)
020 - N 04 Archive,64,"atae-stat2, saao-saa02, saao-saa03, saao-saa12, saao-saa20",Archive N4
045 - N 30 Archive,64,atae-stat2,Archive N30
18 (Archive N30),64,atae-stat2,Archive N30
Ch. 20 (Extispicy Reports - Unclassifiable (Reign of Assurbanipal)),64,saao-saa04,Uncertain (SAA Chapter)
Ch. 6 (Astrologers - Assyrian varia),64,saao-saa10,Uncertain (SAA Chapter)
Ch. 8 (Miscellaneous Letters),64,saao-saa18,Uncertain (SAA Chapter)
Archive N25,62,atae-stat2,Archive N25
Ch. 1 (Letters from the King and the Crown Prince),62,"saao-saa16, saao-saa19",Uncertain (SAA Chapter)
Ch. 7 (Letters from Other Cities of Assyria),62,saao-saa16,Uncertain (SAA Chapter)
Ch. 3 (Letters from the Western Provinces),62,saao-saa19,Uncertain (SAA Chapter)
001 -  Qurdi-Nergal Archive,60,atae-huzirina,Qurdi-Nergal Archive
"001 - Mamu Temple, Room 8",60,atae-imgurenlil,Mamu Temple Archive
027 - N 12 Archive,60,atae-stat2,Archive N12
07 (Archive N12 (Caravansary)),60,atae-stat2,Archive N12
052b - Egyptian Archive,60,atae-wvdog152,Egyptian Archive (Assur 52b)
02 (Assur 52b: Das Archiv einer Gruppe von Ägyptern),60,atae-wvdog152,Egyptian Archive (Assur 52b)
Ch. 5 (Domestic Animals),60,saao-saa11,Uncertain (SAA Chapter)
"Ch. 3 (Letters from Parsua, Bit-Hamban and Šingibutu)",60,saao-saa15,Uncertain (SAA Chapter)
Ch. 6 (Letters from Kumme and Ukku),58,saao-saa05,Uncertain (SAA Chapter)
Ch. 2 (Letters from Lubda and the Hamrin Area),58,saao-saa15,Uncertain (SAA Chapter)
"005 - Fort Shalmaneser, šakinutu Archive (S 10)",56,atae-ctn3,Fort Shalmaneser Archive
025 - N 10 Archive,56,atae-stat2,Archive N10
"05 (Archive N10 (Aššur-eriba, hundurayu))",56,atae-stat2,Archive N10
"foundation wall of the southern stretch of the inner city wall, near the gate, in isitu",56,,Uncertain
Ch. 1 (Royal Letters),56,saao-saa01,Uncertain (SAA Chapter)
Ch. 10 (Letters from Mazamua),56,saao-saa05,Uncertain (SAA Chapter)
"Ch. 2 (Balasi, Astrologer)",56,saao-saa10,Uncertain (SAA Chapter)
Ch. 4 (Letters from Kar-Šarrukin),56,saao-saa15,Uncertain (SAA Chapter)
Archive of the rab ekall,54,atae-ctn3,Rab ekalli Archive
Ch. 2 (Grants of Sargon II and Later Kings),54,"atae-huzirina, saao-saa12",Uncertain (SAA Chapter)
"001 - Lower Town, Building II,  Rooms 9–10",54,atae-tuszhan,Lower Town Building II Archive
Ch. 4 (Sealings),54,saao-saa11,Uncertain (SAA Chapter)
Ch. 4 (Letters from the Northern and Northwestern Provinces),54,saao-saa19,Uncertain (SAA Chapter)
Ch. 8 (Varia),52,"atae-huzirina, saao-saa03, saao-saa14",Uncertain (SAA Chapter)
Kutha 7.3.3 (Šangû-Ištar-Bābili),52,babcity,Šangû-Ištar-Bābili Archive
001 - Qurdi-Nergal Archive,52,"saao-saa03, saao-saa12, saao-saa20, saao-saas2",Qurdi-Nergal Archive
Ch. 9 (Fragmentary Letters Relating to Urarṭu and Zikirtu),52,saao-saa05,Uncertain (SAA Chapter)
Ch. 4 (Royal Charioteers),52,saao-saa06,Uncertain (SAA Chapter)
Ch. 3 (Miscellaneous Commodities),52,saao-saa11,Uncertain (SAA Chapter)
Ch. 13 (Varia and Unassigned),52,saao-saa19,Uncertain (SAA Chapter)
"Ch. 6 (Letters to Vassal Rulers, and Miscellany)",52,saao-saa21,Uncertain (SAA Chapter)
12 (Texte aus N 31),50,atae-stat3,Archive N31
Bēliya’u,50,borsippa,Bēliya’u Archive
"Ch. 4 (Akkullanu, Astrologer)",50,saao-saa10,Uncertain (SAA Chapter)
Ch. 5 (Letters from Assur - Varia),50,saao-saa13,Uncertain (SAA Chapter)
Ch. 7 (Unassigned),50,saao-saa14,Uncertain (SAA Chapter)
"Ch. 5 (Kakkullanu, Cohort Commander of the Crown Prince)",50,saao-saa14,Uncertain (SAA Chapter)
Ch. 3 (Fragments of Grants or Schedules to Grants),48,"atae-huzirina, saao-saa12",Uncertain (SAA Chapter)
033 - N 18 Archive,48,atae-stat2,Archive N18
09 (Archive N18 (Arameans)),48,atae-stat2,Archive N18
Archive N20 (Šarru-iqbi),48,atae-stat2,Archive N20
Ch. 9 (Textiles),48,saao-saa07,Uncertain (SAA Chapter)
Ch. 8 (Assyrian reports - varia),48,saao-saa08,Uncertain (SAA Chapter)
Ch. 5 (Letters from Borsippa and Bit-Dakuri),48,saao-saa17,Uncertain (SAA Chapter)
"001 -  Fort Shalmaneser, NE 47-50",46,atae-ctn1,Fort Shalmaneser Archive
Ch. 2 (Letters from Tušhan),46,saao-saa05,Uncertain (SAA Chapter)
Ch. 14 (Miscellaneous Temple Offerings),46,saao-saa07,Uncertain (SAA Chapter)
"Ch. 19 (Mar-Issar, Esarhaddon’s Agent in Babylonia)",46,saao-saa10,Uncertain (SAA Chapter)
Ch. 1 (Letters from Arrapha),46,saao-saa15,Uncertain (SAA Chapter)
07 (The Horse Lists),44,atae-ctn3,Horse Lists
002 - Šibaniba 2,44,atae-szibaniba,Šibaniba Archive
Babylon 7.1.2.4 (Egibi),44,babcity,Egibi Archive
"Ch. 2 (Queries Relating to Šubria, Urarṭu, Scythia, and Mannea (Reign of Esarhaddon))",44,saao-saa04,Uncertain (SAA Chapter)
Ch. 4 (Letters from the Rab Šaqe Province),44,saao-saa05,Uncertain (SAA Chapter)
Ch. 7 (Military Personnel),44,saao-saa11,Uncertain (SAA Chapter)
Acquired by C.J. Rich in Iraq,42,,Uncertain
"Ch. 9 (Letters from Carchemish, Til-Barsip and Harran)",42,saao-saa01,Uncertain (SAA Chapter)
"Ch. 5 (Bahianu, Village Manager of the Stewardess)",42,saao-saa06,Uncertain (SAA Chapter)
Ch. 19 (Nabu-iqbi),42,saao-saa08,Uncertain (SAA Chapter)
Ch. 16 (Unassigned and Unattributed Letters),42,saao-saa13,Uncertain (SAA Chapter)
"Ch. 9 (Letters Pertaining to Elam, Urarṭu, Media and Babylonia)",42,saao-saa16,Uncertain (SAA Chapter)
Ch. 10 (Additions to SAA 10 and 13),42,saao-saa16,Uncertain (SAA Chapter)
"Ch. 1 (Letters to Babylon, Borsippa, Cutha, and Nippur)",42,saao-saa21,Uncertain (SAA Chapter)
"Ch. 2 (Letters to Uruk, Ur, and Kissik)",42,saao-saa21,Uncertain (SAA Chapter)
044 - N 29 Archive,40,"atae-stat2, atae-stat3",Archive N29
Archive N33 (Goldsmiths),40,atae-stat2,Archive N33
Ch. 7 (Letters from Kurbail and Nearby Provinces),40,saao-saa05,Uncertain (SAA Chapter)
Ch. 1 (Letters from Nashir-Bel),40,saao-saa05,Uncertain (SAA Chapter)
"Ch. 10 (Mannu-ki-Arbail, Cohort Commander)",40,saao-saa06,Uncertain (SAA Chapter)
Ch. 15 (Ašaredu the Younger),40,saao-saa08,Uncertain (SAA Chapter)
Ch. 3 (Balasi),40,saao-saa08,Uncertain (SAA Chapter)
"004 - Fort Shalmaneser, SE 14-15",38,atae-ctn3,Fort Shalmaneser Archive
03 (The encrusted group),38,atae-ctn3,Uncertain
03 (Texte aus N 2),38,atae-stat3,Archive N2
09 (Texte aus N 27),38,atae-stat3,Archive N27
10 (Texte aus N 28),38,atae-stat3,Archive N28
3. Butchers,38,borsippa,Ṭābihu Archive
Ch. 6 (Harem Governesses and Other Royal Women),38,saao-saa06,Uncertain (SAA Chapter)
Ch. 7 (Astrologers - Babylonian varia),38,saao-saa10,Uncertain (SAA Chapter)
Ch. 20 (Miscellaneous - varia),38,saao-saa10,Uncertain (SAA Chapter)
Ch. 9 (Harran Census),38,saao-saa11,Uncertain (SAA Chapter)
Ch. 3 (Petitions to the King and the Crown Prince),38,saao-saa16,Uncertain (SAA Chapter)
"Ch. 12 (Letters from Borsippa, Dilbat, and Bit-Dakkuri)",38,saao-saa18,Uncertain (SAA Chapter)
Ch. 9 (Additions to SAA 10 and SAA 13),38,saao-saa18,Uncertain (SAA Chapter)
02 (The škintu group),36,atae-ctn3,Uncertain
17 (Archive N29),36,atae-stat2,Archive N29
Unknown,36,borsippa,Uncertain
Ch. 11 (Silim-Aššur),36,saao-saa06,Uncertain (SAA Chapter)
Ch. 1 (Grants of Tiglath-pileser III and Earlier Kings),36,saao-saa12,Uncertain (SAA Chapter)
Ch. 15 (Varia),36,saao-saa14,Uncertain (SAA Chapter)
Ch. 6 (Letters from Nineveh and the Royal Court),36,saao-saa16,Uncertain (SAA Chapter)
Ch. 5 (Letters from the Eastern Provinces),36,saao-saa19,Uncertain (SAA Chapter)
013 - Burnt Palace,34,"atae-ctn2, saao-saa19",Burnt Palace Archive
Ch. 8 (Temple Service and Takultu Manuals),34,"atae-huzirina, saao-saa20",Uncertain (SAA Chapter)
Ch. 13 (Letters from Guzana and Naṣibina),34,saao-saa01,Uncertain (SAA Chapter)
Ch. 1 (Queries Relating to Asia Minor and Cappadocia (Reign of Esarhaddon)),34,saao-saa04,Uncertain (SAA Chapter)
Ch. 10 (Medical Queries (Reign of Esarhaddon)),34,saao-saa04,Uncertain (SAA Chapter)
Ch. 3 (Varia),34,saao-saa06,Uncertain (SAA Chapter)
Ch. 6 (Nabu’a),34,saao-saa08,Uncertain (SAA Chapter)
Ch. 7 (Nabu-mušeṣi),34,saao-saa08,Uncertain (SAA Chapter)
"Ch. 3 (Nabu-ahhe-eriba, Astrologer)",34,saao-saa10,Uncertain (SAA Chapter)
